age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,455500,740600,213425,1409525
54,0,0,0,0,0,493554,805631,244190,1543374
55,0,0,0,0,0,534334,875396,277461,1687190
56,0,0,0,0,0,578026,950217,313416,1841660
57,0,0,0,0,0,624827,1030440,352247,2007513
58,0,0,0,0,0,674947,1116430,394155,2185532
59,0,0,0,0,0,728609,1208581,439357,2376548
60,0,0,0,0,0,786054,1307308,488086,2581448
61,0,0,0,0,0,847535,1413059,540586,2801180
62,0,0,0,0,0,913324,1526306,597123,3036752
63,0,0,0,0,0,983710,1647556,657976,3289242
64,0,0,0,0,0,1059002,1777348,723446,3559796
65,202575,212258,2674,0,0,915579,1892876,770470,3578924
66,208898,219934,3576,0,0,755157,2015913,820550,3591620
67,215437,157096,0,0,0,647146,2146947,873886,3667979
68,222201,162584,0,0,0,526626,2286499,930688,3743814
69,229197,125048,0,0,0,435809,2435121,991183,3862113
70,236435,129835,0,0,0,334302,2593404,1055610,3983316
71,243923,134812,0,0,0,221220,2761975,1124225,4107420
72,251672,139988,0,0,0,95611,2941504,1197299,4234414
73,259691,148494,4900,0,0,0,3086033,1275124,4361157
74,267991,176190,30809,0,0,0,3110436,1358007,4468443
75,276582,56579,32113,126440,0,0,3129595,1446277,4575872
76,285475,58081,33474,132050,0,0,3142887,1540285,4683172
77,294683,60296,34894,137244,0,0,3149634,1640404,4790038
78,304217,62091,36378,143165,0,0,3149104,1747030,4896134
79,314090,64049,37927,149247,0,0,3140501,1860587,5001088
80,324316,66200,39545,155470,0,0,3122963,1981525,5104488
81,334907,69419,41234,160977,0,0,3095559,2110325,5205884
82,345879,72161,42998,167328,0,0,3057282,2247496,5304778
83,313556,20222,32517,172728,0,0,3063055,2393583,5456638
84,324023,18819,34071,182325,0,0,3061010,2549166,5610176
85,334879,18391,35700,191313,0,0,3050272,2714861,5765133
86,346138,17972,37407,200676,0,0,3029891,2891327,5921219
87,357817,17584,39195,210409,0,0,2998841,3079264,6078105
88,369933,18865,41070,218893,0,0,2956007,3279416,6235423
89,382504,18815,43034,229148,0,0,2900185,3492578,6392763
90,395549,20906,45092,237720,0,0,2830071,3719596,6549667
91,409088,344357,50276,0,0,0,2669669,3961369,6631038
92,423140,357870,52612,0,0,0,2485327,4218858,6704185
93,437727,407863,90965,0,0,0,2239010,4493084,6732094
94,452871,423587,94566,0,0,0,1960958,4785134,6746093
95,468595,572927,104333,0,0,0,1515493,5096168,6611662
