age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,216600,1498200,113700,1828500
54,0,0,0,0,0,234387,1602999,128507,1965893
55,0,0,0,0,0,253441,1714832,144498,2112772
56,0,0,0,0,0,273849,1834164,161758,2269771
57,0,0,0,0,0,295701,1961488,180376,2437565
58,0,0,0,0,0,319095,2097332,200447,2616874
59,0,0,0,0,0,344135,2242256,222073,2808464
60,0,0,0,0,0,370931,2396857,245363,3013152
61,0,0,0,0,0,399602,2561774,270432,3231808
62,0,0,0,0,0,430273,2737684,297405,3465362
63,0,0,0,0,0,463079,2925309,326412,3714801
64,0,0,0,0,0,498162,3125421,357596,3981179
65,100867,100867,0,0,0,422204,3281692,375476,4079371
66,103388,103388,0,0,0,339926,3445777,394249,4179951
67,105973,52280,0,0,0,304642,3618065,413962,4336669
68,108622,53587,0,0,0,266287,3798969,434660,4499915
69,111338,54927,0,0,0,224675,3988917,456393,4669984
70,114121,56300,0,0,0,179608,4188363,479213,4847184
71,116974,57707,0,0,0,130881,4397781,503173,5031836
72,119899,59150,0,0,0,78275,4617670,528332,5224277
73,122896,60629,0,0,0,21560,4848554,554748,5424862
74,125969,68724,6580,0,0,0,5044896,582486,5627382
75,129118,0,42916,205077,0,0,5092064,611610,5703674
76,132346,0,45105,214855,0,0,5131812,642191,5774002
77,135654,0,47161,224097,0,0,5164306,674300,5838606
78,139046,0,49551,234741,0,0,5187780,708015,5895795
79,142522,0,52051,245866,0,0,5201303,743416,5944719
80,146085,0,54667,257490,0,0,5203878,780587,5984464
81,149737,0,57069,268241,0,0,5195830,819616,6015446
82,153481,0,59913,280856,0,0,5174766,860597,6035363
83,157318,0,62487,292360,0,0,5141145,903627,6044771
84,161251,0,65574,306021,0,0,5092181,948808,6040989
85,165282,0,68315,318261,0,0,5028529,996248,6024778
86,169414,0,71128,330824,0,0,4949131,1046061,5995192
87,173649,0,74009,343690,0,0,4852898,1098364,5951262
88,177990,0,76326,354226,0,0,4741317,1153282,5894599
89,182440,0,79305,367544,0,0,4610839,1210946,5821785
90,187001,0,81577,377938,0,0,4463443,1271493,5734937
91,191676,216279,24603,0,0,0,4470336,1335068,5805405
92,196468,221686,25218,0,0,0,4472167,1401822,5873989
93,201380,227228,25849,0,0,0,4468548,1471913,5940460
94,206414,232909,26495,0,0,0,4459066,1545508,6004575
95,211575,238731,27157,0,0,0,4443288,1622784,6066072
