age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,647200,1294400,282650,2224250
54,0,0,0,0,0,697714,1395428,317914,2411056
55,0,0,0,0,0,751765,1503530,355977,2611272
56,0,0,0,0,0,809590,1619180,397037,2825806
57,0,0,0,0,0,871442,1742885,441302,3055630
58,0,0,0,0,0,937592,1875184,488999,3301776
59,0,0,0,0,0,1008327,2016654,540367,3565347
60,0,0,0,0,0,1083953,2167906,595660,3847520
61,0,0,0,0,0,1164798,2329595,655153,4149546
62,0,0,0,0,0,1251209,2502417,719137,4472762
63,0,0,0,0,0,1343557,2687114,787921,4818592
64,0,0,0,0,0,1442239,2884478,861837,5188554
65,202575,222859,20285,0,130387,1291492,2898315,1035316,5225123
66,208898,229791,20894,0,133647,1126275,2909584,1220728,5256588
67,215437,182400,30548,0,136988,1000188,2918076,1418752,5337017
68,222201,188450,31424,0,140413,861748,2923567,1630103,5415418
69,229197,158187,37359,0,143923,746649,2925823,1855530,5528002
70,236435,163772,38415,0,147521,620209,2924593,2095828,5640630
71,243923,169572,39503,0,151209,481648,2919614,2351828,5753090
72,251672,175596,40625,0,154989,330135,2910605,2624409,5865149
73,259691,181853,41781,0,158864,164789,2897272,2914493,5976553
74,267991,145382,0,0,0,27647,3042135,3060218,6130000
75,276582,55239,27996,123664,0,0,3044368,3213229,6257596
76,285475,62989,34786,128454,0,0,3005143,3373890,6379032
77,294683,67656,36239,131229,0,0,2956515,3542584,6499099
78,304217,72248,37757,134387,0,0,2897705,3719714,6617419
79,314090,77376,39340,137332,0,0,2827882,3905699,6733582
80,324316,83124,40993,139994,0,0,2746158,4100984,6847142
81,334907,90326,42718,141555,0,0,2651585,4306034,6957619
82,345879,97681,44519,143329,0,0,2543154,4521335,7064489
83,313556,50828,34077,143681,0,0,2475802,4747402,7223204
84,324023,55373,35670,147369,0,0,2396850,4984772,7381623
85,334879,61539,37339,149803,0,0,2305351,5234011,7539361
86,346138,68659,39086,151668,0,0,2200291,5495711,7696002
87,357817,76916,40917,152798,0,0,2080591,5770497,7851088
88,369933,87654,42834,151868,0,0,1945098,6059022,8004120
89,382504,98988,44842,150783,0,0,1792583,6361973,8154555
90,395549,113547,46946,146933,0,0,1621732,6680071,8301803
91,409088,346258,52176,0,0,0,1356560,7014075,8370635
92,423140,359818,54560,0,0,0,1064570,7364779,8429349
93,437727,409082,92184,0,0,0,708717,7733018,8441734
94,452871,424836,95815,0,0,0,319316,8119669,8438985
95,468595,516993,48398,0,0,0,0,8343940,8343940
