age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
41,0,0,0,0,0,886000,282500,175500,1344000
42,0,0,0,0,0,978920,317725,203235,1499880
43,0,0,0,0,0,1079271,355879,233375,1668526
44,0,0,0,0,0,1187602,397182,266102,1850886
45,60710,60710,0,0,0,1210025,424984,284729,1919738
46,62227,62227,0,0,0,1232499,454733,304660,1991893
47,63783,63783,0,0,0,1254991,486565,325987,2067542
48,65378,65378,0,0,0,1277462,520624,348806,2146892
49,67012,67012,0,0,0,1299873,557068,373222,2230162
50,68687,68687,0,0,0,1322176,596063,399348,2317586
51,70405,70405,0,0,0,1344324,637787,427302,2409413
52,72165,72165,0,0,0,1366262,682432,457213,2505907
53,73969,73969,0,0,0,1387931,730202,489218,2607351
54,75818,75818,0,0,0,1409268,781317,523463,2714048
55,77714,77714,0,0,0,1430203,836009,560106,2826318
56,79656,79656,0,0,0,1450661,894529,599313,2944504
57,81648,81648,0,0,0,1470560,957146,641265,3068971
58,83689,83689,0,0,0,1489810,1024147,686153,3200110
59,85781,85781,0,0,0,1508315,1095837,734184,3338336
60,87926,87926,0,0,0,1525972,1172545,785577,3484094
61,90124,90124,0,0,0,1542666,1254624,840567,3637857
62,92377,92377,0,0,0,1558276,1342447,899407,3800130
63,94686,94686,0,0,0,1572668,1436419,962366,3971453
64,97054,97054,0,0,0,1585702,1536968,1029731,4152401
65,99480,99480,0,0,0,1597221,1644556,1101812,4343589
66,101967,101985,18,0,0,1607041,1759675,1178939,4545655
67,104516,104653,137,0,0,1614881,1882852,1261465,4759198
68,107129,107383,254,0,0,1620540,2014651,1349768,4984959
69,109807,110176,370,0,0,1623801,2155677,1444251,5223730
70,112552,31351,0,0,0,1706116,2306574,1545349,5558040
71,115366,32135,0,0,0,1793410,2468035,1653523,5914968
72,118250,32938,0,0,0,1886010,2640797,1769270,6296077
73,121207,33762,0,0,0,1984270,2825653,1893119,6703041
74,124237,34606,0,0,0,2088563,3023448,2025637,7137648
75,127343,0,22731,122904,0,2299465,3112185,2167432,7579083
76,130526,0,24473,131316,0,2530913,3198723,2319152,8048788
77,133789,0,26204,139682,0,2784289,3282951,2481493,8548733
78,137134,0,28190,149225,0,3062027,3363532,2655197,9080756
79,140563,0,30314,159409,0,3366310,3439571,2841061,9646942
80,144077,0,32586,170276,0,3699510,3510065,3039935,10249510
81,147679,0,34808,180931,0,4063463,3574838,3252730,10891032
82,151370,0,37390,193234,0,4461586,3631842,3480422,11573850
83,155155,0,39892,205189,0,4895976,3680882,3724051,12300910
84,159034,0,42821,219100,0,5370675,3719444,3984735,13074854
85,163009,0,45627,232465,0,5888055,3747340,4263666,13899061
86,167085,0,48585,246536,0,6451629,3763118,4562123,14776870
87,171262,0,51698,261328,0,7065169,3765209,4881471,15711849
88,175543,0,54524,274833,0,7730168,3753941,5223174,16707283
89,179932,0,57933,291003,0,8453257,3725713,5588797,17767767
90,184430,0,61009,305386,0,9237016,3681127,5980012,18898155
91,189041,0,64232,320098,0,10085841,3618708,6398613,20103162
92,193767,0,67510,335066,0,11004459,3536952,6846516,21387927
