age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,0,0,2158000,2158000
54,0,0,0,0,0,0,0,2327110,2327110
55,0,0,0,0,0,0,0,2508077,2508077
56,0,0,0,0,0,0,0,2701699,2701699
57,0,0,0,0,0,0,0,2908823,2908823
58,0,0,0,0,0,0,0,3130357,3130357
59,0,0,0,0,0,0,0,3367263,3367263
60,0,0,0,0,0,0,0,3620572,3620572
61,0,0,0,0,0,0,0,3891379,3891379
62,0,0,0,0,0,0,0,4180852,4180852
63,0,0,0,0,0,0,0,4490237,4490237
64,0,0,0,0,0,0,0,4820861,4820861
65,202575,202575,0,0,0,0,0,4859329,4859329
66,208898,208898,0,0,0,0,0,4893398,4893398
67,215437,151853,0,0,0,0,0,4986214,4986214
68,222201,157027,0,0,0,0,0,5078498,5078498
69,229197,120828,0,0,0,0,0,5211595,5211595
70,236435,125357,0,0,0,0,0,5346818,5346818
71,243923,130068,0,0,0,0,0,5484091,5484091
72,251672,134971,0,0,0,0,0,5623324,5623324
73,259691,140072,0,0,0,0,0,5764418,5764418
74,267991,145382,0,0,0,0,0,5907258,5907258
75,276582,150907,0,0,0,0,0,6051713,6051713
76,285475,156659,0,0,0,0,0,6197640,6197640
77,294683,162646,0,0,0,0,0,6344876,6344876
78,304217,168879,0,0,0,0,0,6493241,6493241
79,314090,175369,0,0,0,0,0,6642534,6642534
80,324316,182126,0,0,0,0,0,6792534,6792534
81,334907,189163,0,0,0,0,0,6942997,6942997
82,345879,196492,0,0,0,0,0,7093656,7093656
83,313556,160433,0,0,0,0,0,7287905,7287905
84,324023,167073,0,0,0,0,0,7485227,7485227
85,334879,174004,0,0,0,0,0,7685484,7685484
86,346138,181242,0,0,0,0,0,7888517,7888517
87,357817,188798,0,0,0,0,0,8094145,8094145
88,369933,196689,0,0,0,0,0,8302163,8302163
89,382504,204929,0,0,0,0,0,8512342,8512342
90,395549,213535,0,0,0,0,0,8724424,8724424
91,409088,294082,0,0,0,0,0,8866563,8866563
92,423140,305259,0,0,0,0,0,9004633,9004633
93,437727,316899,0,0,0,0,0,9137965,9137965
94,452871,329022,0,0,0,0,0,9265842,9265842
95,468595,468595,0,0,0,0,0,9260539,9260539
