age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,0,2916500,0,2916500
54,0,0,0,0,0,0,3148303,0,3148303
55,0,0,0,0,0,0,3396439,0,3396439
56,0,0,0,0,0,0,3662009,0,3662009
57,0,0,0,0,0,0,3946186,0,3946186
58,0,0,0,0,0,0,4250218,0,4250218
59,0,0,0,0,0,0,4575439,0,4575439
60,0,0,0,0,0,0,4923267,0,4923267
61,0,0,0,0,0,0,5295217,0,5295217
62,0,0,0,0,0,0,5692902,0,5692902
63,0,0,0,0,0,0,6118041,0,6118041
64,0,0,0,0,0,0,6572467,0,6572467
65,202575,271267,66473,0,130387,0,6499436,130387,6629823
66,208898,279632,68515,0,133647,0,6411129,270553,6681682
67,215437,222310,66017,0,131972,0,6377404,416052,6793456
68,222201,229534,68068,0,135271,0,6331468,572126,6903594
69,229197,178826,56222,0,103322,0,6365894,704054,7069948
70,236435,185222,58090,0,105905,0,6393062,845161,7238223
71,243923,191870,60027,0,108552,0,6412293,995972,7408264
72,251672,198781,62034,0,111266,0,6422860,1157036,7579897
73,259691,205965,64117,0,114048,0,6423991,1328936,7752927
74,267991,213433,66276,0,116899,0,6414858,1512281,7927140
75,276582,0,50216,260767,0,0,6474835,1587895,8062730
76,285475,0,52772,273200,0,0,6525377,1667290,8192667
77,294683,0,55174,284951,0,0,6566695,1750655,8317349
78,304217,0,57964,298486,0,0,6596543,1838187,8434731
79,314090,0,60883,312632,0,0,6613738,1930097,8543835
80,324316,0,63938,327413,0,0,6617012,2026602,8643614
81,334907,0,66743,341083,0,0,6606780,2127932,8734711
82,345879,0,70064,357123,0,0,6579995,2234328,8814324
83,313556,0,73070,371751,0,0,6537244,2346045,8883289
84,324023,0,76744,389122,0,0,6474985,2463347,8938332
85,334879,0,80063,404687,0,0,6394047,2586514,8980562
86,346138,0,83471,420661,0,0,6293089,2715840,9008929
87,357817,0,86960,437020,0,0,6170723,2851632,9022355
88,369933,0,89727,450418,0,0,6028841,2994214,9023055
89,382504,0,93332,467352,0,0,5862931,3143924,9006856
90,395549,0,96033,480568,0,0,5675510,3301121,8976631
91,409088,346258,52176,0,0,0,5613027,3466177,9079204
92,423140,359818,54560,0,0,0,5533860,3639485,9173346
93,437727,409082,92184,0,0,0,5401471,3821460,9222931
94,452871,424836,95815,0,0,0,5246708,4012533,9259241
95,468595,574208,105614,0,0,0,4934836,4213159,9147995
