age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,757800,1398850,355150,2511800
54,0,0,0,0,0,819726,1504556,393015,2717297
55,0,0,0,0,0,886057,1617576,433785,2937418
56,0,0,0,0,0,957092,1738399,477662,3173152
57,0,0,0,0,0,1033146,1867546,524861,3425553
58,0,0,0,0,0,1114560,2005572,575612,3695744
59,0,0,0,0,0,1201693,2153069,630162,3984924
60,0,0,0,0,0,1294931,2310667,688771,4294369
61,0,0,0,0,0,1394682,2479038,751719,4625440
62,0,0,0,0,0,1501385,2658899,819305,4979589
63,0,0,0,0,0,1615506,2851013,891845,5358363
64,0,0,0,0,0,1737540,3056193,969678,5763410
65,202575,263330,31995,0,135565,1587149,3119280,1168272,5874702
66,208898,273334,33872,0,138954,1416980,3183080,1383164,5983223
67,215437,225796,42650,0,142428,1283287,3247552,1615497,6146337
68,222201,234602,44609,0,145988,1132099,3312654,1866493,6311247
69,229197,202672,49593,0,149638,1003014,3378339,2137453,6518806
70,236435,210844,51622,0,153379,857365,3444552,2429767,6731684
71,243923,219108,53683,0,157214,693986,3511234,2744915,6950136
72,251672,227551,55788,0,161144,511545,3578320,3084479,7174344
73,259691,236293,57952,0,165173,308502,3645739,3450142,7404383
74,267991,157933,0,0,0,170622,3882712,3674402,7727735
75,276582,95161,23278,96318,0,86551,4038770,3913238,8038558
76,285475,97509,26553,102410,0,0,4193547,4167598,8361145
77,294683,42165,39861,177951,0,0,4246012,4438492,8684504
78,304217,41383,41539,187331,0,0,4293288,4726994,9020282
79,314090,40761,43290,196911,0,0,4334679,5034248,9368928
80,324316,39635,45118,207369,0,0,4369429,5361475,9730904
81,334907,38978,47027,217749,0,0,4396714,5709970,10106685
82,345879,37462,49019,229397,0,0,4415642,6081119,10496760
83,313556,0,42959,240415,0,17789,4462243,6476391,10956424
84,324023,0,46023,255470,0,40882,4496819,6897357,11435058
85,334879,0,48922,269801,0,68831,4519311,7345685,11933827
86,346138,0,52110,285481,0,102595,4527585,7823154,12453335
87,357817,0,55305,301219,0,142282,4520660,8331659,12994601
88,369933,0,58338,316252,0,187455,4498251,8873217,13558923
89,382504,0,61815,333330,0,239559,4457307,9449976,14146843
90,395549,0,64830,348345,0,297243,4398687,10064225,14760155
91,409088,59196,77247,340983,0,257368,4343618,10718400,15319386
92,423140,60844,81182,356034,0,213253,4269919,11415096,15898268
93,437727,65491,85302,371297,0,161624,4176167,12157077,16494867
94,452871,69562,89450,386682,0,102567,4060935,12947287,17110789
95,468595,606048,92583,0,0,0,3828082,13788860,17616943
