age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,540700,868400,282650,1691750
54,0,0,0,0,0,584292,941738,317914,1843944
55,0,0,0,0,0,630970,1020350,355977,2007297
56,0,0,0,0,0,680943,1104593,397037,2182573
57,0,0,0,0,0,734434,1194850,441302,2370586
58,0,0,0,0,0,791678,1291527,488999,2572205
59,0,0,0,0,0,852928,1395059,540367,2788354
60,0,0,0,0,0,918454,1505908,595660,3020022
61,0,0,0,0,0,988541,1624567,655153,3268261
62,0,0,0,0,0,1063495,1751562,719137,3534193
63,0,0,0,0,0,1143642,1887454,787921,3819017
64,0,0,0,0,0,1229330,2032840,861837,4124006
65,202575,202575,0,0,0,1088221,2134482,904929,4127632
66,208898,208898,0,0,0,933735,2241206,950175,4125116
67,215437,151853,0,0,0,828568,2353266,997684,4179518
68,222201,157027,0,0,0,712969,2470930,1047568,4231467
69,229197,120828,0,0,0,627790,2594476,1099947,4322212
70,236435,125357,0,0,0,533823,2724200,1154944,4412966
71,243923,130068,0,0,0,430446,2860410,1212691,4503546
72,251672,134971,0,0,0,316997,3003430,1273326,4593753
73,259691,140072,0,0,0,192774,3153602,1336992,4683368
74,267991,145382,0,0,0,57032,3311282,1403842,4772155
75,276582,41904,25603,134605,0,17979,3342241,1474034,4834254
76,285475,46912,31276,141023,0,0,3340296,1547735,4888032
77,294683,53020,36239,145864,0,0,3308426,1625122,4933548
78,304217,110359,39953,150383,0,0,3213106,1706378,4919484
79,314090,117888,41591,152280,0,0,3103594,1791697,4895291
80,324316,152034,69013,153643,0,0,2953096,1881282,4834378
81,334907,164366,71523,152221,0,0,2784164,1975346,4759510
82,345879,177427,74132,150495,0,0,2595450,2074113,4669563
83,313556,135576,63047,146636,0,0,2443011,2177819,4620829
84,324023,147308,65453,145417,0,0,2272435,2286710,4559145
85,334879,161641,67959,142027,0,0,2082389,2401045,4483434
86,346138,178060,70570,136999,0,0,1871449,2521098,4392547
87,357817,196955,73290,129962,0,0,1638105,2647153,4285258
88,369933,219692,76123,119570,0,0,1380749,2779510,4160259
89,382504,245080,79076,107035,0,0,1097671,2918486,4016157
90,395549,275527,82152,89973,0,0,787054,3064410,3851464
91,409088,311001,85359,68440,0,0,446967,3217630,3664598
92,423140,352573,88701,41386,0,0,75357,3378512,3453869
93,437727,440873,3146,0,0,0,0,3185689,3185689
94,452871,452871,0,0,0,0,0,2892103,2892103
95,468595,468595,0,0,0,0,0,2568113,2568113
