age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
53,0,0,0,0,0,455500,740600,213425,1409525
54,0,0,0,0,0,493554,805631,244190,1543374
55,0,0,0,0,0,534334,875396,277461,1687190
56,0,0,0,0,0,578026,950217,313416,1841660
57,0,0,0,0,0,624827,1030440,352247,2007513
58,0,0,0,0,0,674947,1116430,394155,2185532
59,0,0,0,0,0,728609,1208581,439357,2376548
60,0,0,0,0,0,786054,1307308,488086,2581448
61,0,0,0,0,0,847535,1413059,540586,2801180
62,0,0,0,0,0,913324,1526306,597123,3036752
63,0,0,0,0,0,983710,1647556,657976,3289242
64,0,0,0,0,0,1059002,1777348,723446,3559796
65,202575,173472,0,0,0,954365,1892876,770470,3617711
66,208898,179666,0,0,0,836732,2015913,820550,3673195
67,215437,139602,523,0,0,751518,2146947,873886,3772351
68,222201,145045,542,0,0,655321,2286499,930688,3872509
69,229197,118175,1949,0,0,579742,2435121,991183,4006047
70,236435,123200,2003,0,0,494225,2593404,1055610,4143239
71,243923,128427,2057,0,0,397923,2761975,1124225,4284123
72,251672,133864,2111,0,0,289924,2941504,1197299,4428727
73,259691,139521,2166,0,0,169248,3132701,1275124,4577073
74,267991,145406,2221,0,0,34842,3336327,1358007,4729176
75,276582,93225,29911,82342,0,0,3414729,1446277,4861006
76,285475,97735,34963,86112,0,0,3452839,1540285,4993124
77,294683,45045,36420,146482,0,0,3485746,1640404,5126150
78,304217,45778,37940,153748,0,0,3512793,1747030,5259823
79,314090,46793,39527,161067,0,0,3533264,1860587,5393851
80,324316,47565,41183,168978,0,0,3546383,1981525,5527908
81,334907,69471,42839,176680,0,0,3530747,2110325,5641071
82,345879,71837,44643,184157,0,0,3504251,2247496,5751747
83,313556,19498,34203,190731,0,0,3521799,2393583,5915382
84,324023,17660,35800,201558,0,0,3531497,2549166,6080663
85,334879,16792,37472,211806,0,0,3532447,2714861,6247308
86,346138,15325,39223,223060,0,0,3523670,2891327,6414997
87,357817,14261,41057,234339,0,0,3504109,3079264,6583373
88,369933,14214,42977,245044,0,0,3472618,3279416,6752034
89,382504,13157,44989,257225,0,0,3427956,3492578,6920534
90,395549,14207,47096,267786,0,0,3368780,3719596,7088376
91,409088,151932,85772,261146,0,0,3174674,3961369,7136043
92,423140,168218,89125,260219,0,0,2952590,4218858,7171448
93,437727,192801,93849,256747,0,0,2694961,4493084,7188045
94,452871,216652,97491,249533,0,0,2403948,4785134,7189082
95,468595,572927,104333,0,0,0,1987277,5096168,7083445
