age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
52,0,0,0,0,0,651800,995800,704200,2351800
53,0,0,0,0,0,723944,1115464,800536,2639944
54,0,0,0,0,0,801860,1244701,904579,2951140
55,0,0,0,0,0,886008,1384277,1016945,3287231
56,0,0,0,0,0,976889,1535019,1138301,3650209
57,0,0,0,0,0,1075040,1697821,1269365,4042226
58,0,0,0,0,0,1161043,1833647,1370914,4365604
59,178303,185104,998,0,0,1068822,1980338,1480587,4529748
60,182760,190803,1828,0,0,963525,2138765,1599034,4701325
61,187329,196600,2646,0,0,844007,2309867,1726957,4880831
62,192013,202500,3453,0,0,709027,2494656,1865113,5068797
63,196813,208506,4249,0,0,557243,2694228,2014323,5265794
64,201733,214622,5034,0,0,387200,2909767,2175468,5472436
65,206777,201122,3464,0,0,217055,3142548,2349506,5709108
66,211946,206903,4117,0,0,27516,3393952,2537466,5958934
67,217245,224177,23594,0,0,0,3471009,2740464,6211472
68,222676,231921,27060,0,0,0,3516768,2959701,6476469
69,228243,237719,27736,0,0,0,3560391,3196477,6756868
70,233949,129867,23811,0,0,0,3715355,3452195,7167550
71,239798,153109,25218,0,0,0,3859474,3728370,7587845
72,245792,156937,25848,0,0,0,4011296,4026640,8037936
73,251937,160860,26494,0,0,0,4171339,4348771,8520110
74,258236,164882,27157,0,0,0,4340164,4696673,9036837
75,264692,0,29469,176429,0,5791,4510948,5072407,9589146
76,271309,0,32295,190335,0,19597,4681489,5478199,10179285
77,278092,0,35157,204432,0,42125,4851576,5916455,10810156
78,285044,0,38452,220526,0,75546,5019176,6389772,11484493
79,292170,0,42017,237876,0,121624,5182834,6900953,12205412
80,299474,0,45873,256576,0,182337,5340885,7453030,12976252
81,306961,0,49729,275303,0,258786,5492852,8049272,13800910
82,314635,0,54212,296911,0,354383,5635370,8693214,14682966
83,322501,0,58658,318382,0,470457,5767817,9388671,15626945
84,330564,0,63860,343322,0,611256,5885920,10139765,16636940
85,338828,0,68969,367870,0,778350,5988923,10950946,17718219
86,347298,0,74420,394008,0,974980,6074029,11827021,18876031
87,355981,0,80229,421808,0,1204701,6138144,12773183,20116028
88,364880,0,85686,448040,0,1466879,6181156,13795038,21443072
89,374002,0,92448,479159,0,1769523,6196489,14898641,22864653
90,383352,0,98785,507909,0,2113806,6184299,16090532,24388637
91,392936,251794,0,0,0,2031117,6679043,17377775,26087935
92,402760,258676,0,0,0,1934931,7213366,18767997,27916294
93,412829,264705,0,0,0,1825020,7790436,20269436,29884892
94,423149,271876,0,0,0,1699146,8413670,21890991,32003807
95,433728,280233,1005,0,0,1554845,9086764,23642271,34283879
96,444571,479782,18940,0,0,1199450,9813705,25533652,36546807
97,455685,496353,22183,0,0,799053,10598802,27576344,38974199
98,467078,513189,25414,0,0,349789,11446706,29782452,41578947
99,478755,540017,40961,0,0,0,12200197,32165048,44365246
100,490723,595074,104352,0,0,0,12581139,34738252,47319391
