age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
64,0,0,0,0,0,215300,1085700,0,1301000
65,145259,119435,0,0,0,109859,1156271,0,1266130
66,149658,123198,0,0,0,0,1225231,0,1225231
67,154202,90372,14783,0,0,0,1214499,0,1214499
68,158897,93707,15389,0,0,0,1199734,0,1199734
69,163748,97176,16021,0,0,0,1180541,0,1180541
70,168760,100783,16681,0,0,0,1156493,0,1156493
71,173939,104534,17369,0,0,0,1127131,0,1127131
72,179293,108436,18087,0,0,0,1091959,0,1091959
73,184826,86369,18835,26125,0,0,1050442,0,1050442
74,190546,91083,19616,25633,0,0,1002005,0,1002005
75,196460,78660,20431,42448,0,0,946027,0,946027
76,202575,84014,21281,41665,0,0,881840,0,881840
77,208898,90067,22168,40367,0,0,808725,0,808725
78,215437,96773,23094,38611,0,0,725909,0,725909
79,222201,104431,24060,36103,0,0,632559,0,632559
80,229197,112962,25068,32934,0,0,527780,0,527780
81,236435,186022,47879,29818,0,0,346245,0,346245
82,243923,202703,49574,20610,0,0,145438,0,145438
83,220109,145802,33053,9090,0,0,0,0,0
84,227181,0,0,0,0,0,0,0,0
85,234506,0,0,0,0,0,0,0,0
86,242092,0,0,0,0,0,0,0,0
87,249951,0,0,0,0,0,0,0,0
88,258093,0,0,0,0,0,0,0,0
