age,netSpend,totalWD,fedTax,rmd,rothConv,endTaxable,endTraditional,endRoth,endTotal
66,141000,144422,0,0,0,70378,1081200,0,1151578
67,145259,100795,0,0,0,0,1125636,0,1125636
68,149658,114603,12223,0,0,0,1084200,0,1084200
69,154202,90372,14783,0,0,0,1064301,0,1064301
70,158897,93707,15389,0,0,0,1039773,0,1039773
71,163748,97176,16021,0,0,0,1010182,0,1010182
72,168760,100783,16681,0,0,0,975061,0,975061
73,173939,104534,17369,0,0,0,933906,0,933906
74,179293,108436,18087,0,0,0,886175,0,886175
75,184826,91204,18835,21290,0,0,831282,0,831282
76,190546,96354,19616,20362,0,0,768599,0,768599
77,196460,88544,20431,32565,0,0,697450,0,697450
78,202575,94957,21281,30721,0,0,617105,0,617105
79,208898,102181,22168,28253,0,0,526783,0,526783
80,215437,110230,23094,25154,0,0,425640,0,425640
81,222201,179761,44675,21940,0,0,251605,0,251605
82,229197,195040,46247,13600,0,0,59319,0,59319
83,206684,59824,12581,3351,0,0,0,0,0
84,213280,0,0,0,0,0,0,0,0
85,220109,0,0,0,0,0,0,0,0
86,227181,0,0,0,0,0,0,0,0
87,234506,0,0,0,0,0,0,0,0
88,242092,0,0,0,0,0,0,0,0
89,249951,0,0,0,0,0,0,0,0
90,258093,0,0,0,0,0,0,0,0
91,266529,0,0,0,0,0,0,0,0
92,275272,0,0,0,0,0,0,0,0
93,284333,0,0,0,0,0,0,0,0
94,293725,0,0,0,0,0,0,0,0
95,303461,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0
